gender,Occupation,Work,Rest,Sleep,Exercise,Lifespan
Female,Teacher,6.6,10.92,5.38,1.1,88
Male,Office Worker,9.65,7.65,6.31,0.39,76
Female,Manager,13.77,1.0,8.02,1.21,78
Female,Freelancer,10.94,5.18,7.59,0.29,74
Male,Engineer,9.81,5.11,7.38,1.7,78
Female,Manual Laborer,8.74,10.02,4.39,0.85,87
Male,Driver,10.66,3.18,8.66,1.5,64
Female,Technician,20.69,2.42,0.88,0.0,51
Female,Entrepreneur,15.77,1.0,6.2,1.03,63
Female,Teacher,8.2,6.04,6.76,3.0,78
Female,Retail Worker,6.67,4.47,10.1,2.76,71
Male,Technician,7.76,7.69,7.72,0.84,94
Female,Freelancer,7.11,8.77,8.12,0.0,94
Male,Manual Laborer,11.82,3.84,7.3,1.04,85
Female,Scientist,7.81,5.11,8.38,2.7,86
Female,Manager,13.87,1.0,6.13,3.0,80
Male,Teacher,7.57,4.64,8.81,2.98,81
Female,Artist,2.29,17.48,3.61,0.62,81
Female,Scientist,7.73,6.61,6.87,2.79,96
Male,Scientist,8.16,4.95,10.5,0.39,64
Male,Engineer,8.44,6.94,7.78,0.84,72
Male,Freelancer,11.65,2.65,8.26,1.44,85
Male,Entrepreneur,11.07,3.31,7.67,1.95,83
Female,Manual Laborer,9.13,5.08,8.88,0.91,90
Female,Healthcare Worker,8.36,6.71,7.43,1.5,82
Female,Office Worker,8.03,5.36,7.94,2.67,85
Female,Manual Laborer,10.44,4.22,8.97,0.37,81
Male,Office Worker,7.38,10.22,5.59,0.81,87
Female,Freelancer,5.63,11.17,6.7,0.51,94
Female,Teacher,6.25,9.16,5.83,2.76,100
Female,Engineer,9.35,8.17,5.14,1.34,100
Male,Scientist,10.49,7.63,4.12,1.75,71
Female,Driver,8.43,6.04,9.24,0.29,68
Female,Scientist,8.71,9.82,4.37,1.11,83
Female,Office Worker,9.53,4.5,8.01,1.96,89
Male,Scientist,7.8,5.46,8.86,1.88,81
Male,Manager,11.08,6.1,6.26,0.55,67
Female,Manual Laborer,8.29,7.18,7.17,1.35,88
Male,Freelancer,5.1,12.11,5.35,1.44,93
Female,Technician,9.4,3.2,8.43,2.97,89
Female,Technician,7.11,5.6,8.28,3.0,92
Female,Retail Worker,6.65,6.97,9.4,0.98,84
Female,Engineer,9.95,5.1,7.67,1.29,71
Male,Technician,8.1,7.99,6.71,1.21,71
Female,Freelancer,6.73,6.81,7.68,2.78,100
Female,Freelancer,11.53,4.41,5.99,2.07,86
Male,Manager,8.26,7.66,7.69,0.39,91
Female,Manual Laborer,9.62,9.15,4.13,1.1,83
Male,Artist,4.78,10.43,7.79,1.0,89
Female,Entrepreneur,12.05,4.08,5.91,1.96,87
Female,Retail Worker,9.74,4.13,8.29,1.83,81
Female,Freelancer,7.97,4.94,8.09,3.0,78
Male,Healthcare Worker,10.52,3.53,6.95,3.0,91
Female,Office Worker,7.27,10.44,6.14,0.16,95
Female,Manager,11.48,2.21,9.57,0.74,68
Female,Manager,13.38,3.92,6.4,0.29,79
Female,Scientist,8.8,5.27,6.93,3.0,89
Male,Manager,13.89,1.82,7.33,0.96,62
Female,Engineer,7.18,7.36,9.34,0.12,77
Male,Entrepreneur,14.39,1.0,6.63,1.98,73
Male,Manager,11.53,4.79,7.68,0.0,69
Female,Artist,4.09,13.53,6.38,0.0,84
Female,Entrepreneur,13.62,1.0,7.38,2.0,76
Male,Freelancer,5.55,13.32,5.13,0.0,85
Male,Engineer,20.55,1.85,1.6,0.0,35
Female,Technician,7.44,9.63,3.94,3.0,79
Male,Entrepreneur,15.01,1.0,5.13,2.86,66
Male,Teacher,7.1,11.81,4.48,0.61,95
Female,Office Worker,7.06,9.66,6.92,0.35,84
Female,Manual Laborer,8.19,3.84,9.41,2.57,82
Male,Entrepreneur,13.14,1.0,9.17,0.69,71
Female,Driver,10.06,4.53,8.14,1.27,85
Male,Artist,5.85,9.54,8.06,0.55,90
Female,Driver,9.85,3.29,8.93,1.93,85
Female,Manager,8.08,6.69,8.32,0.91,74
Female,Technician,9.29,3.51,8.21,2.98,89
Female,Consultant,11.59,2.84,7.06,2.51,90
Female,Technician,7.08,10.05,4.51,2.36,87
Female,Manager,13.55,2.58,6.3,1.56,79
Female,Healthcare Worker,10.41,5.38,7.35,0.86,89
Female,Healthcare Worker,11.34,1.96,9.76,0.95,73
Female,Engineer,9.78,5.73,7.37,1.12,100
Male,Artist,4.31,13.1,5.39,1.19,82
Female,Scientist,1.25,18.31,2.17,2.27,80
Male,Manager,8.5,5.11,7.39,3.0,94
Female,Technician,9.65,5.33,8.81,0.21,90
Male,Teacher,6.07,6.98,7.98,2.97,86
Female,Office Worker,7.63,6.99,8.83,0.55,68
Female,Manager,18.99,0.66,4.35,0.0,44
Male,Office Worker,9.16,5.11,8.62,1.12,88
Male,Manual Laborer,11.15,1.0,9.08,2.77,88
Male,Manual Laborer,9.64,6.82,7.16,0.38,75
Female,Consultant,9.53,4.61,8.08,1.78,84
Female,Scientist,7.92,10.06,6.02,0.0,79
Female,Engineer,7.23,3.06,10.75,2.97,74
Male,Engineer,9.54,4.45,9.14,0.88,87
Male,Driver,0.21,19.04,3.37,1.38,84
Male,Technician,7.84,6.32,8.29,1.55,86
Male,Engineer,7.61,6.87,7.08,2.44,93
Male,Artist,7.25,10.12,5.99,0.63,97
Female,Freelancer,0.31,20.19,1.68,1.83,80
Male,Technician,9.97,3.02,9.3,1.71,80
Male,Manager,11.1,3.04,8.69,1.18,79
Female,Freelancer,11.23,4.69,5.49,2.59,75
Female,Consultant,10.08,1.0,10.33,2.59,90
